,index,Unnamed: 0,tileID,normRFP_mean,lognormRFP_mean,normGFP_mean,lognormGFP_mean,normRFP_std,lognormRFP_std,normGFP_std,lognormGFP_std
0,45,22,VFV_gp1-521,0.5497467568289474,-0.6888002387980082,0.8126830167270417,-0.2636743654695518,0.2463426579546288,0.443157372943849,0.2750093163144294,0.3548841239470516
1,32,9,CsVMVgp1-086,0.9703460500325248,-0.1401565759103827,0.9214921809485608,-0.1512800025301984,0.4494818930944239,0.5061300677844193,0.3383398819692614,0.3976660238341823
3,50,4,PLRVgp2-084,1.0342895230904063,-0.0003707149337207,1.1399095343852033,0.111595190787768,0.2639416670665785,0.2764127956592789,0.2370903014109616,0.1999365324494566
5,34,11,EXJ02_gp1-003,1.097404221811473,0.0189756239014634,1.201357655067058,0.0934514009678314,0.4668598796660299,0.3876296354326489,0.53793179054599,0.4378198396104097
8,31,8,ChiRSV_gp1-117,1.23739820096789,0.1691928674302721,1.0752979826514353,0.0463891028168076,0.3672340261995434,0.3105787834323526,0.2421728969912673,0.2432510983564575
10,30,7,CCZ25_gp2-099,1.312145143467581,0.2466685724033823,1.092453396369358,0.0424772762159233,0.2925525677690492,0.2353554148632267,0.3746752804600903,0.3006504254435949
12,35,12,EXL60_gp1-275,1.520404369813214,0.3959643720433435,1.1964400485189606,0.1472511083466083,0.3387794142781016,0.2221546622247509,0.3046168657123864,0.2673562429106452
14,29,6,BaSULV_gp3-034,1.6308699533652309,0.4465283622660051,1.3996439483351704,0.2831237472667446,0.4670006277651162,0.3112386517807813,0.4728219901363079,0.3414976263523258
16,3,3,BBV81_gp3-032,1.71544715447155,0.471450202735032,0.247452906252291,2.04679556926446,0.672174657614956,0.379249924465577,0.0969610588716729,0.239842834391401
18,9,9,CBSV_gp1-228,1.86517615176152,0.454303235500886,0.269051283930709,2.14097164228732,1.00719775697783,0.634319536284152,0.14528807342464,0.345087291757979
19,26,3,B390_gp1-170,1.924037988133557,0.6067304005349435,1.181940310895139,0.1345795705772634,0.6457301254681606,0.3118951162681609,0.2989892049593119,0.2709023059084347
20,25,2,B1U05_gp3-033,2.0403450226354525,0.6676683195211655,1.5356829020841596,0.3684383313385369,0.6607055599506514,0.3079759463520806,0.5748595900757085,0.3565364140684827
21,27,4,BGV87_gp1-064,2.117768098125841,0.707476609354903,1.6079563693876973,0.4428829327185056,0.6521972670807727,0.3013965950236749,0.4284591396781404,0.2616705678050353
22,41,18,LAYVVSDB_gp1-004,2.388948887210315,0.8013445977102335,1.5647916423105777,0.4216073656747747,0.959487005332526,0.3797856309554661,0.347634797626093,0.2434974798215639
23,40,17,KM671_gp1-220,3.4874539698446942,1.18708916602199,1.6269900132680342,0.454645216055641,1.1854290458469534,0.3780240723072104,0.3921273815999584,0.2752081468071877
24,14,15,EMSV_gp3-017,4.76659891598916,1.34089114897413,0.687580932834909,2.97852864178254,2.63376090287052,0.779500621020037,0.379919479355653,0.673898587961762
26,7,7,C419_gp2-086,12.8262195121951,2.28697186467592,1.85017957927142,4.17159718791967,7.25759489572367,0.914381165474998,1.04690660080511,0.886023316321844
28,21,22,KM718_gp3-037,16.1659891598916,2.45509204102649,2.33194067775905,4.18008550656569,9.59517104749085,0.994091463475901,1.38410148951565,1.09578060731434
30,2,2,B7L85_gp3-035,17.3329945799458,2.79894344345638,2.50028097437025,4.4155591982775,5.18169794651185,0.361465672090433,0.74745888431689,0.62658846099004
32,17,18,KLCV-India_gp5-008,18.0098238482385,2.85088643018156,2.59791345989396,4.44356975342975,5.41037198751208,0.288428711022661,0.780445068637674,0.402861213652458
34,20,21,KM659_gp2-038,19.1422764227642,2.85321840429032,2.76126951550246,4.54177418957585,7.52505990523115,0.505070043935114,1.08548837451403,0.596371885585566
36,12,13,Clbvgp1-067,20.5037262872629,2.92310175323272,2.95765838403088,4.72027242254669,7.41738129741914,0.51423875534907,1.06995575704177,0.380744611968851
37,15,16,GV77_gp3-035,24.2981029810298,3.10412161993029,3.50499645727968,5.08360186918804,10.1196028651459,0.434720386392664,1.45975067350342,0.441928158520047
38,0,0,A6I62_gp2-081,30.1927506775068,3.39053510755039,4.35529819932077,5.39726116012962,5.83596011498524,0.188684166790223,0.841836070240485,0.200671291618574
39,1,1,AXI67_gp4-009,34.8739837398374,3.41070313053964,5.030565124972511,5.49489402939062,14.8411148984896,0.622781544517664,2.14082783260482,0.659942430677302
