threshold,num_seqs,norm_count
1.0,5607,1.0
0.99,5344,0.9530943463527733
0.98,5268,0.9395398608881755
0.97,5180,0.9238451935081149
0.96,5094,0.9085072231139647
0.95,5024,0.8960228286070983
0.94,4942,0.8813982521847691
0.93,4842,0.8635634028892456
0.92,4754,0.847868735509185
0.91,4654,0.8300338862136615
0.9,4586,0.8179061886927056
0.89,4493,0.8013197788478688
0.88,4416,0.7875869448903157
0.87,4328,0.771892277510255
0.86,4248,0.7576243980738363
0.85,4170,0.7437132156233279
0.84,4104,0.7319422150882825
0.83,4041,0.7207062600321027
0.82,3951,0.7046548956661316
0.81,3868,0.6898519707508471
0.8,3795,0.6768325307651151
0.79,3721,0.6636347422864277
0.78,3640,0.6491885143570537
0.77,3577,0.6379525593008739
0.76,3502,0.6245764223292313
0.75,3435,0.6126270733012306
0.74,3357,0.5987158908507223
0.73,3301,0.5887283752452291
0.72,3247,0.5790975566256465
0.71,3194,0.5696450864990191
0.7,3130,0.558230782949884
0.69,3072,0.5478865703584804
0.68,3025,0.5395041911895845
0.67,2977,0.5309434635277331
0.66,2919,0.5205992509363296
0.65,2865,0.5109684323167469
0.64,2819,0.5027644016408062
0.63,2770,0.49402532548599964
